x pendolo,y pendolo,angolo,,"pivot x,y",592,52
670,565,0.150891088,,,,
722,549,0.255837538,,,,
777,523,0.374267926,,,,
825,492,0.487003649,,,,
860,467,0.5734051,,,,
889,440,0.65332478,,,,
912,414,0.723892262,,,,
929,392,0.780966878,,,,
938,380,0.812098048,,,,
941,376,0.822528194,,,,
938,380,0.812098048,,,,
930,392,0.782448319,,,,
913,413,0.726814251,,,,
889,440,0.65332478,,,,
860,466,0.574505111,,,,
825,492,0.487003649,,,,
778,523,0.376105965,,,,
722,549,0.255837538,,,,
669,566,0.148699671,,,,
608,572,0.030759526,,,,
547,570,-0.086655033,,,,
489,558,-0.200813701,,,,
434,537,-0.314931069,,,,
383,506,-0.431429576,,,,
339,476,-0.537988105,,,,
310,449,-0.617623567,,,,
287,426,-0.68412578,,,,
268,404,-0.744001708,,,,
254,386,-0.791350474,,,,
247,376,-0.816777994,,,,
247,376,-0.816777994,,,,
254,385,-0.79284959,,,,
267,402,-0.748378048,,,,
286,424,-0.688358777,,,,
308,447,-0.623355808,,,,
338,474,-0.541812257,,,,
380,504,-0.438563266,,,,
432,535,-0.319886044,,,,
486,557,-0.206897364,,,,
544,569,-0.092577932,,,,
604,571,0.023117268,,,,
663,565,0.137527885,,,,
717,550,0.245923396,,,,
769,527,0.356692631,,,,
817,498,0.467228614,,,,
848,473,0.546336591,,,,
876,453,0.616227743,,,,
904,423,0.699228473,,,,
921,402,0.754480184,,,,
930,391,0.78392106,,,,
933,386,0.795768162,,,,
932,388,0.791315254,,,,
924,399,0.763310445,,,,
907,419,0.709299069,,,,
885,444,0.641866456,,,,
858,466,0.57109328,,,,
826,490,0.490668058,,,,
779,521,0.379403031,,,,
724,547,0.260602392,,,,
674,563,0.159113173,,,,
618,570,0.050150963,,,,
557,570,-0.067465025,,,,
499,560,-0.18106583,,,,
446,541,-0.290142981,,,,
395,511,-0.405417549,,,,
348,481,-0.517135562,,,,
318,455,-0.597108783,,,,
297,434,-0.65759052,,,,
279,415,-0.711568106,,,,
264,398,-0.758698278,,,,
256,387,-0.786888475,,,,
254,385,-0.79284959,,,,
261,394,-0.769054894,,,,
274,410,-0.72629548,,,,
292,429,-0.672147755,,,,
312,449,-0.614267265,,,,
340,474,-0.538325993,,,,
381,503,-0.437597798,,,,
433,535,-0.318019228,,,,
487,556,-0.205395389,,,,
542,568,-0.096597645,,,,
602,571,0.019265439,,,,
658,565,0.127952101,,,,
706,554,0.223304395,,,,
760,531,0.337325619,,,,
810,502,0.451125902,,,,
845,475,0.539027713,,,,
871,456,0.604385319,,,,
894,433,0.670243703,,,,
912,414,0.723892262,,,,
923,400,0.760366574,,,,
925,396,0.769151439,,,,
923,399,0.761803723,,,,
914,411,0.731119666,,,,
898,430,0.680521225,,,,
875,454,0.61339218,,,,
848,473,0.546336591,,,,
815,499,0.462752354,,,,
766,528,0.350456774,,,,
714,552,0.239323681,,,,
665,565,0.141351203,,,,
610,571,0.034668185,,,,
549,570,-0.082821692,,,,
495,560,-0.188673748,,,,
443,541,-0.295766305,,,,
394,511,-0.407255848,,,,
349,483,-0.513380322,,,,
320,459,-0.589135748,,,,
300,439,-0.64638889,,,,
283,421,-0.697132525,,,,
270,406,-0.738096196,,,,
262,397,-0.763179598,,,,
262,397,-0.763179598,,,,
270,407,-0.736692254,,,,
284,422,-0.694206361,,,,
301,440,-0.643501109,,,,
322,460,-0.584601256,,,,
351,485,-0.507882511,,,,
397,514,-0.39939302,,,,
447,543,-0.287153734,,,,
498,561,-0.18261831,,,,
554,571,-0.07308731,,,,
613,572,0.040362682,,,,
667,566,0.144891873,,,,
715,552,0.241210428,,,,
765,530,0.3472584,,,,
812,502,0.454719275,,,,
845,477,0.536952108,,,,
870,459,0.599257052,,,,
891,438,0.659067242,,,,
906,421,0.705044465,,,,
916,410,0.735586031,,,,
918,407,0.742839442,,,,
914,412,0.729737241,,,,
902,426,0.692102542,,,,
885,444,0.641866456,,,,
863,465,0.580703463,,,,
836,484,0.514146156,,,,
798,512,0.421044628,,,,
749,539,0.311862125,,,,
696,560,0.201934107,,,,
648,568,0.108104035,,,,
593,574,0.001915706,,,,
537,570,-0.105781279,,,,
484,558,-0.210283398,,,,
435,539,-0.311862125,,,,
387,510,-0.420854837,,,,
346,483,-0.518646239,,,,
319,460,-0.589697517,,,,
301,441,-0.642266033,,,,
